ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,01/01/12,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Mahut N.,275,80,171,653,6,4,6,4,,,,,,,2,0,Completed,4.33,1.2,4.25,1.2,4,1.22,4.65,1.23,5,1.17,5,1.23,4.35,1.2
1,Brisbane,Brisbane International,01/01/12,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Falla A.,15,74,1925,671,7,6,6,2,,,,,,,2,0,Completed,1.25,3.75,1.25,3.75,1.29,3.5,1.32,3.71,1.2,4,1.33,4,1.28,3.59
1,Brisbane,Brisbane International,02/01/12,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Mayer F.,73,23,685,1630,7,6,2,3,,,,,,,1,0,Retired,3.25,1.33,3.3,1.3,3.25,1.33,3.29,1.38,3,1.33,3.46,1.38,3.1,1.35
1,Brisbane,Brisbane International,02/01/12,ATP250,Outdoor,Hard,1st Round,3,Tomic B.,Benneteau J.,42,52,970,900,6,2,4,6,7,5,,,,,2,1,Completed,1.66,2.1,1.65,2.15,1.62,2.2,1.7,2.27,1.62,2.2,1.7,3.1,1.63,2.22
1,Brisbane,Brisbane International,02/01/12,ATP250,Outdoor,Hard,1st Round,3,Muller G.,Mello R.,54,85,893,630,6,7,7,6,6,3,,,,,2,1,Completed,1.4,2.75,1.4,2.8,1.33,3.25,1.41,3.13,1.36,2.88,1.44,3.7,1.4,2.86
1,Brisbane,Brisbane International,02/01/12,ATP250,Outdoor,Hard,1st Round,3,Simon G.,Sweeting R.,12,72,2165,690,6,3,6,4,,,,,,,2,0,Completed,1.2,4.33,1.2,4.25,1.17,4.5,1.24,4.48,1.17,4.5,1.3,4.6,1.2,4.25
1,Brisbane,Brisbane International,02/01/12,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Harrison R.,44,79,940,658,7,6,6,4,,,,,,,2,0,Completed,1.36,3,1.35,3,1.44,2.62,1.51,2.74,1.44,2.63,1.51,3.15,1.41,2.79
1,Brisbane,Brisbane International,03/01/12,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Stebe C.M.,25,81,1430,652,3,6,6,1,6,4,,,,,2,1,Completed,1.22,4,1.25,3.75,1.29,3.5,1.26,4.29,1.25,3.5,1.34,4.3,1.25,3.8
1,Brisbane,Brisbane International,03/01/12,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Levine J.,77,164,666,308,7,6,6,2,,,,,,,2,0,Completed,1.36,3,1.35,3,1.36,3,1.44,2.99,1.36,2.88,1.44,3.25,1.38,2.94
1,Brisbane,Brisbane International,03/01/12,ATP250,Outdoor,Hard,1st Round,3,Ito T.,Mitchell B.,122,227,474,214,6,4,6,2,,,,,,,2,0,Completed,1.44,2.62,,,1.5,2.5,1.51,2.72,1.5,2.5,1.55,2.8,1.49,2.52
1,Brisbane,Brisbane International,03/01/12,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Ebden M.,28,86,1275,627,6,4,3,6,6,3,,,,,2,1,Completed,1.5,2.5,1.55,2.35,1.44,2.62,1.61,2.46,1.5,2.5,1.68,2.88,1.53,2.43
1,Brisbane,Brisbane International,03/01/12,ATP250,Outdoor,Hard,1st Round,3,Giraldo S.,Millman J.,55,541,890,51,6,3,6,3,,,,,,,2,0,Completed,1.28,3.5,1.25,3.75,1.29,3.5,1.28,4.02,1.29,3.25,1.33,4.04,1.28,3.53
1,Brisbane,Brisbane International,03/01/12,ATP250,Outdoor,Hard,1st Round,3,Petzschner P.,Melzer J.,63,33,780,1170,6,1,7,5,,,,,,,2,0,Completed,2.37,1.53,2.35,1.55,2.38,1.53,2.35,1.66,2.25,1.57,2.6,1.68,2.34,1.58
1,Brisbane,Brisbane International,03/01/12,ATP250,Outdoor,Hard,1st Round,3,Haas T.,Matosevic M.,205,203,237,240,6,3,7,5,,,,,,,2,0,Completed,1.53,2.37,1.5,2.5,1.53,2.38,1.66,2.34,1.53,2.5,1.66,2.5,1.55,2.37
1,Brisbane,Brisbane International,03/01/12,ATP250,Outdoor,Hard,1st Round,3,Andreev I.,Mannarino A.,115,87,494,623,7,6,6,2,,,,,,,2,0,Completed,1.83,1.83,1.9,1.85,1.83,1.83,1.83,2.07,1.83,1.83,2,2.5,1.85,1.89
1,Brisbane,Brisbane International,03/01/12,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Kukushkin M.,4,91,7380,598,5,7,6,3,6,2,,,,,2,1,Completed,1.02,17,1.03,10,1.04,9,1.02,26,1.02,11,1.04,28.25,1.02,13.93
1,Brisbane,Brisbane International,04/01/12,ATP250,Outdoor,Hard,2nd Round,3,Simon G.,Duckworth J.,12,275,2165,171,6,3,7,5,,,,,,,2,0,Completed,1.08,8,1.11,6,1.1,6.5,1.11,7.91,1.07,8,1.12,8,1.09,6.69
1,Brisbane,Brisbane International,04/01/12,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,Nieminen J.,28,77,1275,666,7,6,6,2,,,,,,,2,0,Completed,1.5,2.5,1.6,2.25,1.62,2.2,1.58,2.56,1.57,2.25,1.62,2.6,1.55,2.38
