ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,31/12/2023,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,O Connell C.,40,68,1084,780,6,4,6,7,7,6,,,,,2,1,Completed,1.62,2.3,1.72,2.23,1.77,2.32,1.68,2.17
1,Brisbane,Brisbane International,31/12/2023,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Van Assche L.,48,90,947,687,6,3,6,2,,,,,,,2,0,Completed,1.62,2.3,1.78,2.14,1.78,2.32,1.7,2.14
1,Brisbane,Brisbane International,01/01/2024,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Shelton B.,39,17,1122,2145,6,3,6,7,6,3,,,,,2,1,Completed,2.3,1.62,2.31,1.68,2.32,1.68,2.24,1.63
1,Brisbane,Brisbane International,01/01/2024,ATP250,Outdoor,Hard,1st Round,3,Rune H.,Purcell M.,8,45,3660,1012,4,6,6,4,6,2,,,,,2,1,Completed,1.25,4,1.32,3.68,1.32,4.01,1.28,3.65
1,Brisbane,Brisbane International,01/01/2024,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Murray A.,14,42,2570,1050,4,6,7,5,6,2,,,,,2,1,Completed,1.33,3.4,1.35,3.47,1.36,3.5,1.33,3.25
1,Brisbane,Brisbane International,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Hanfmann Y.,Korda S.,51,24,914,1530,7,5,6,4,,,,,,,2,0,Completed,4.5,1.2,4.54,1.25,4.54,1.25,4.16,1.22
1,Brisbane,Brisbane International,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Klein L.,Baez S.,170,28,359,1435,4,6,6,3,6,4,,,,,2,1,Completed,2,1.8,2.02,1.88,2.22,1.88,2.04,1.76
1,Brisbane,Brisbane International,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Wolf J.J.,116,53,573,910,6,3,6,4,,,,,,,2,0,Completed,2.38,1.57,2.21,1.74,2.4,1.74,2.24,1.63
1,Brisbane,Brisbane International,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Altmaier D.,Tu L.,56,225,891,280,7,6,7,6,,,,,,,2,0,Completed,1.57,2.38,1.64,2.39,1.64,2.4,1.59,2.32
1,Brisbane,Brisbane International,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Etcheverry T.,78,30,722,1375,6,7,7,5,7,6,,,,,2,1,Completed,1.36,3.2,1.4,3.17,1.41,3.2,1.37,3.02
1,Brisbane,Brisbane International,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Vukic A.,55,62,902,835,6,3,6,2,,,,,,,2,0,Completed,1.57,2.38,1.56,2.58,1.57,2.63,1.54,2.46
1,Brisbane,Brisbane International,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Kubler J.,Karatsev A.,102,35,631,1193,6,4,6,7,,,,,,,1,1,Retired,2.75,1.44,2.6,1.55,2.75,1.55,2.58,1.49
1,Brisbane,Brisbane International,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Fucsovics M.,44,59,1021,882,6,7,6,4,7,6,,,,,2,1,Completed,1.91,1.91,2.05,1.85,2.05,2.1,1.82,1.98
1,Brisbane,Brisbane International,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Thiem D.,672,98,45,652,7,5,6,1,,,,,,,2,0,Completed,1.62,2.3,1.6,2.48,1.63,2.48,1.58,2.33
1,Brisbane,Brisbane International,02/01/2024,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Kokkinakis T.,71,65,744,802,7,6,6,2,,,,,,,2,0,Completed,2.63,1.5,2.71,1.52,2.75,1.55,2.57,1.49
1,Brisbane,Brisbane International,03/01/2024,ATP250,Outdoor,Hard,1st Round,3,Humbert U.,Michelsen A.,20,97,1765,653,6,4,6,4,,,,,,,2,0,Completed,1.4,3,1.44,2.97,1.44,3.1,1.4,2.87
1,Brisbane,Brisbane International,03/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Duckworth J.,Hanfmann Y.,116,51,573,914,4,6,6,1,7,6,,,,,2,1,Completed,1.91,1.91,1.93,1.98,1.96,1.98,1.89,1.88
1,Brisbane,Brisbane International,03/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Arnaldi M.,Klein L.,44,170,1021,359,6,4,3,6,7,5,,,,,2,1,Completed,1.53,2.5,1.61,2.49,1.65,2.6,1.54,2.43
1,Brisbane,Brisbane International,03/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Safiullin R.,Popyrin A.,39,40,1122,1084,6,7,6,4,7,6,,,,,2,1,Completed,1.53,2.5,1.53,2.68,1.55,2.68,1.52,2.49
1,Brisbane,Brisbane International,03/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Rune H.,Shevchenko A.,8,48,3660,947,6,4,5,7,6,2,,,,,2,1,Completed,1.29,3.75,1.33,3.68,1.33,3.75,1.29,3.53
1,Brisbane,Brisbane International,04/01/2024,ATP250,Outdoor,Hard,2nd Round,3,Hijikata R.,Machac T.,71,78,744,722,5,7,6,2,7,6,,,,,2,1,Completed,2.3,1.62,2.66,1.54,2.66,1.62,2.48,1.53
