WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
1,Auckland,ASB Classic,04/01/09,International,Outdoor,Hard,1st Round,3,Rezai A.,Daniilidou E.,97,152,706,414,6,3,3,6,6,3,2,1,Completed,1.4,2.75,1.45,2.6,1.444,2.625,1.444,2.625,1.37,3
1,Auckland,ASB Classic,05/01/09,International,Outdoor,Hard,1st Round,3,Vaidisova N.,Kudryavtseva A.,40,68,1360,916,7,6,4,6,7,5,2,1,Completed,1.4,2.75,1.45,2.6,1.444,2.625,1.444,2.625,1.4,2.85
1,Auckland,ASB Classic,05/01/09,International,Outdoor,Hard,1st Round,3,Zahlavova Strycova B.,Razzano V.,74,57,866,1064,1,6,6,2,6,3,2,1,Completed,3,1.36,2.92,1.37,3,1.36,2.875,1.364,2.85,1.4
1,Auckland,ASB Classic,05/01/09,International,Outdoor,Hard,1st Round,3,Craybas J.,Date Krumm K.,64,186,974,316,6,4,6,3,,,2,0,Completed,1.38,2.87,1.4,2.85,1.444,2.625,1.364,2.875,1.42,2.76
1,Auckland,ASB Classic,05/01/09,International,Outdoor,Hard,1st Round,3,Gallovits E.,Zakopalova K.,75,70,864,884,3,6,6,2,7,5,2,1,Completed,1.66,2.1,1.75,2.05,1.667,2.1,1.727,2.1,1.7,2.1
1,Auckland,ASB Classic,05/01/09,International,Outdoor,Hard,1st Round,3,Peer S.,Cetkovska P.,39,81,1376,810,7,6,6,2,,,2,0,Completed,1.33,3.25,1.35,3.1,1.333,3.25,1.286,3.25,1.33,3.2
1,Auckland,ASB Classic,05/01/09,International,Outdoor,Hard,1st Round,3,Wozniak A.,Rybarikova M.,33,58,1630,1058,6,3,6,7,7,5,2,1,Completed,1.66,2.1,1.7,2.1,1.667,2.1,1.667,2.1,1.62,2.24
1,Auckland,ASB Classic,05/01/09,International,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Santangelo M.,22,131,2172,494,7,5,6,0,,,2,0,Completed,1.28,3.5,1.25,3.75,1.25,3.75,1.25,3.5,1.26,3.7
1,Auckland,ASB Classic,05/01/09,International,Outdoor,Hard,1st Round,3,Vesnina E.,Nakamura A.,76,144,850,438,6,1,6,0,,,2,0,Completed,1.5,2.5,1.53,2.4,1.533,2.375,1.5,2.5,1.55,2.38
1,Auckland,ASB Classic,05/01/09,International,Outdoor,Hard,1st Round,3,Suarez Navarro C.,Dechy N.,46,67,1170,926,6,4,6,0,,,2,0,Completed,2.5,1.5,2.53,1.48,2.375,1.533,2.375,1.533,2.67,1.45
1,Auckland,ASB Classic,05/01/09,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Brianti A.,12,172,3330,358,6,1,6,0,,,2,0,Completed,1.1,6.5,1.05,8.5,1.083,7,1.083,7,1.05,9
1,Auckland,ASB Classic,05/01/09,International,Outdoor,Hard,1st Round,3,Dementieva E.,Chan Y.J.,4,73,7196,872,7,5,6,3,,,2,0,Completed,1.071,7.5,1.07,7.19,1.07,7.5,1.07,7,1.04,10
1,Auckland,ASB Classic,05/01/09,International,Outdoor,Hard,1st Round,3,Morita A.,Domachowska M.,83,63,784,998,6,4,4,6,6,4,2,1,Completed,1.83,1.83,1.8,1.95,1.83,1.83,1.91,1.8,1.77,2
1,Auckland,ASB Classic,06/01/09,International,Outdoor,Hard,1st Round,3,Erakovic M.,Llagostera Vives N.,69,65,898,968,7,5,6,4,,,2,0,Completed,1.9,1.8,1.85,1.9,1.833,1.833,1.8,1.909,2,1.78
1,Auckland,ASB Classic,06/01/09,International,Outdoor,Hard,1st Round,3,Keothavong A.,Lucic M.,60,435,1020,92,6,4,6,2,,,2,0,Completed,1.36,3,1.37,2.92,1.4,2.75,1.364,2.875,1.34,3.15
1,Auckland,ASB Classic,06/01/09,International,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Barrois K.,43,89,1232,766,6,3,6,1,,,2,0,Completed,1.36,3,1.35,3.1,1.364,3,1.4,2.75,1.33,3.2
1,Auckland,ASB Classic,06/01/09,International,Outdoor,Hard,2nd Round,3,Vesnina E.,Vaidisova N.,76,40,850,1360,6,4,6,3,,,2,0,Completed,2.5,1.5,2.28,1.58,2.5,1.5,2.5,1.533,2.5,1.5
1,Auckland,ASB Classic,06/01/09,International,Outdoor,Hard,2nd Round,3,Peer S.,Zahlavova Strycova B.,39,74,1376,866,6,3,4,6,6,2,2,1,Completed,1.4,2.75,1.37,2.92,1.36,3,1.4,2.88,1.43,2.75
1,Auckland,ASB Classic,06/01/09,International,Outdoor,Hard,2nd Round,3,Wozniacki C.,Craybas J.,12,64,3330,974,6,4,7,5,,,2,0,Completed,,,1.1,6.25,1.1,6.5,1.125,6,1.06,8.75
