WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,31/12/2023,WTA250,Outdoor,Hard,1st Round,3,Wang Xiy.,Cristian J.,71,87,937,831,6,1,5,7,7,6,2,1,Completed,1.44,2.75,1.53,2.62,1.53,2.78,1.48,2.61
1,Auckland,ASB Classic,01/01/2024,WTA250,Outdoor,Hard,1st Round,3,Avanesyan E.,Barry M.,74,649,917,62,7,6,6,2,,,2,0,Completed,1.05,11,1.05,14.08,1.05,16.43,1.04,11.37
1,Auckland,ASB Classic,01/01/2024,WTA250,Outdoor,Hard,1st Round,3,Navarro E.,Fruhvirtova L.,31,88,1480,829,2,6,6,4,6,2,2,1,Completed,1.36,3.2,1.45,2.9,1.45,3.2,1.39,2.96
1,Auckland,ASB Classic,01/01/2024,WTA250,Outdoor,Hard,1st Round,3,Tsurenko L.,Vickery S.,32,143,1451,537,7,5,6,4,,,2,0,Completed,1.5,2.63,1.48,2.79,1.5,2.96,1.47,2.67
1,Auckland,ASB Classic,01/01/2024,WTA250,Outdoor,Hard,1st Round,3,Parry D.,Bektas E.,76,91,904,820,6,7,7,5,6,3,2,1,Completed,2.3,1.62,2.26,1.69,2.36,1.69,2.24,1.64
1,Auckland,ASB Classic,01/01/2024,WTA250,Outdoor,Hard,1st Round,3,Bouzkova M.,Frech M.,36,70,1353,937,6,0,3,6,6,4,2,1,Completed,1.25,4,1.29,3.82,1.31,4.01,1.28,3.63
1,Auckland,ASB Classic,01/01/2024,WTA250,Outdoor,Hard,1st Round,3,Wang Xin.,Putintseva Y.,35,63,1383,1002,6,4,7,5,,,2,0,Completed,1.91,1.91,1.77,2.13,1.93,2.13,1.84,1.95
1,Auckland,ASB Classic,01/01/2024,WTA250,Outdoor,Hard,1st Round,3,Anisimova A.,Pavlyuchenkova A.,373,60,169,1045,7,5,6,4,,,2,0,Completed,2.5,1.53,2.61,1.54,2.75,1.54,2.59,1.49
1,Auckland,ASB Classic,01/01/2024,WTA250,Outdoor,Hard,1st Round,3,Sun L.,Kessler M.,214,217,362,359,6,4,6,3,,,2,0,Completed,2,1.8,2.14,1.76,2.14,1.82,2.04,1.76
1,Auckland,ASB Classic,02/01/2024,WTA250,Outdoor,Hard,1st Round,3,Martic P.,Masarova R.,41,65,1264,982,3,6,6,3,6,3,2,1,Completed,1.73,2.1,1.67,2.29,1.74,2.29,1.67,2.2
1,Auckland,ASB Classic,02/01/2024,WTA250,Outdoor,Hard,1st Round,3,Fruhvirtova B.,Blinkova A.,117,48,657,1170,7,5,6,4,,,2,0,Completed,1.62,2.3,1.61,2.42,1.8,2.42,1.63,2.28
1,Auckland,ASB Classic,02/01/2024,WTA250,Outdoor,Hard,1st Round,3,Gracheva V.,Martincova T.,42,156,1248,495,6,7,7,5,6,2,2,1,Completed,2,1.8,2.11,1.79,2.11,1.83,2.02,1.78
1,Auckland,ASB Classic,02/01/2024,WTA250,Outdoor,Hard,1st Round,3,Gauff C.,Liu C.,3,95,6690,797,6,4,6,2,,,2,0,Completed,1.08,8,1.06,11.34,1.08,11.34,1.06,8.88
1,Auckland,ASB Classic,02/01/2024,WTA250,Outdoor,Hard,1st Round,3,Svitolina E.,Wozniacki C.,25,256,1809,301,6,4,6,3,,,2,0,Completed,1.62,2.3,1.73,2.19,1.77,2.32,1.66,2.2
1,Auckland,ASB Classic,02/01/2024,WTA250,Outdoor,Hard,1st Round,3,Yuan Y.,Day K.,77,89,903,825,7,6,6,7,6,1,2,1,Completed,1.57,2.38,1.57,2.52,1.65,2.52,1.56,2.38
1,Auckland,ASB Classic,02/01/2024,WTA250,Outdoor,Hard,1st Round,3,Raducanu E.,Ruse E.G.,301,134,231,575,6,3,4,6,7,5,2,1,Completed,1.91,1.91,1.76,2.15,1.91,2.15,1.82,1.98
1,Auckland,ASB Classic,02/01/2024,WTA250,Outdoor,Hard,2nd Round,3,Wang Xiy.,Wang Xin.,71,35,937,1383,6,3,3,6,7,6,2,1,Completed,2.1,1.73,2.14,1.76,2.22,1.76,2.1,1.72
1,Auckland,ASB Classic,03/01/2024,WTA250,Outdoor,Hard,2nd Round,3,Navarro E.,Avanesyan E.,31,74,1480,917,6,1,6,2,,,2,0,Completed,1.22,4.33,1.24,4.44,1.25,4.81,1.22,4.18
1,Auckland,ASB Classic,03/01/2024,WTA250,Outdoor,Hard,2nd Round,3,Bouzkova M.,Anisimova A.,36,373,1353,169,6,0,6,1,,,2,0,Completed,1.57,2.38,1.67,2.3,1.67,2.4,1.61,2.29
1,Auckland,ASB Classic,03/01/2024,WTA250,Outdoor,Hard,2nd Round,3,Parry D.,Tsurenko L.,76,32,904,1451,2,6,6,4,6,1,2,1,Completed,3.2,1.36,3.28,1.37,3.3,1.37,3.17,1.35
1,Auckland,ASB Classic,03/01/2024,WTA250,Outdoor,Hard,2nd Round,3,Martic P.,Yuan Y.,41,77,1264,903,6,2,6,2,,,2,0,Completed,1.73,2.1,1.77,2.14,1.77,2.32,1.7,2.14
1,Auckland,ASB Classic,04/01/2024,WTA250,Outdoor,Hard,2nd Round,3,Gauff C.,Fruhvirtova B.,3,117,6690,657,6,3,6,0,,,2,0,Completed,1.06,10,1.08,9.36,1.09,10,1.07,8.31
1,Auckland,ASB Classic,04/01/2024,WTA250,Outdoor,Hard,2nd Round,3,Gracheva V.,Sun L.,42,214,1248,362,6,3,6,4,,,2,0,Completed,1.67,2.2,1.74,2.19,1.75,2.21,1.7,2.13
1,Auckland,ASB Classic,04/01/2024,WTA250,Outdoor,Hard,2nd Round,3,Svitolina E.,Raducanu E.,25,301,1809,231,6,7,7,6,6,1,2,1,Completed,1.44,2.75,1.47,2.85,1.54,2.85,1.46,2.69
1,Auckland,ASB Classic,04/01/2024,WTA250,Outdoor,Hard,Quarterfinals,3,Navarro E.,Martic P.,31,41,1480,1264,6,4,6,3,,,2,0,Completed,1.8,2,1.8,2.13,1.88,2.13,1.77,2.04
1,Auckland,ASB Classic,05/01/2024,WTA250,Outdoor,Hard,Quarterfinals,3,Gauff C.,Gracheva V.,3,42,6690,1248,6,1,6,1,,,2,0,Completed,1.04,13,1.05,14.7,1.09,14.96,1.05,10.58
1,Auckland,ASB Classic,05/01/2024,WTA250,Outdoor,Hard,Quarterfinals,3,Wang Xiy.,Parry D.,71,76,937,904,6,7,6,3,6,4,2,1,Completed,1.44,2.75,1.4,3.23,1.5,3.23,1.42,2.86
1,Auckland,ASB Classic,05/01/2024,WTA250,Outdoor,Hard,Quarterfinals,3,Svitolina E.,Bouzkova M.,25,36,1809,1353,6,0,6,3,,,2,0,Completed,1.8,2,1.98,1.93,1.98,2,1.88,1.91
1,Auckland,ASB Classic,06/01/2024,WTA250,Outdoor,Hard,Semifinals,3,Gauff C.,Navarro E.,3,31,6690,1480,6,3,6,1,,,2,0,Completed,1.08,8,1.13,7.12,1.13,8.2,1.1,6.99
1,Auckland,ASB Classic,06/01/2024,WTA250,Outdoor,Hard,Semifinals,3,Svitolina E.,Wang Xiy.,25,71,1809,937,2,6,6,4,6,3,2,1,Completed,1.25,4,1.26,4.34,1.32,4.34,1.26,3.85
1,Auckland,ASB Classic,07/01/2024,WTA250,Outdoor,Hard,The Final,3,Gauff C.,Svitolina E.,3,25,6690,1809,6,7,6,3,6,3,2,1,Completed,1.17,5,1.2,5.24,1.22,5.25,1.18,4.86
