WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,04/01/15,International,Outdoor,Hard,1st Round,3,Davis L.,Rogers S.,54,72,950,722,1,6,6,4,6,3,2,1,Completed,1.66,2.1,1.68,2.1,1.67,2.1,1.77,2.16,1.77,2.25,1.7,2.09
1,Auckland,ASB Classic,04/01/15,International,Outdoor,Hard,1st Round,3,Townsend T.,Wickmayer Y.,103,74,558,708,7,5,3,6,6,0,2,1,Completed,1.72,2,1.82,1.9,1.83,1.83,1.79,2.12,1.88,2.12,1.8,1.95
1,Auckland,ASB Classic,05/01/15,International,Outdoor,Hard,1st Round,3,Nara K.,Bertens K.,45,68,1098,754,6,3,6,2,,,2,0,Completed,1.61,2.2,1.68,2.15,1.67,2.1,1.88,2.01,1.92,2.2,1.75,2.03
1,Auckland,ASB Classic,05/01/15,International,Outdoor,Hard,1st Round,3,Stephens S.,Soler Espinosa S.,35,65,1343,788,6,3,6,1,,,2,0,Completed,1.36,3,1.4,2.85,1.33,3.25,1.43,3.01,1.56,3.25,1.39,2.9
1,Auckland,ASB Classic,05/01/15,International,Outdoor,Hard,1st Round,3,Hantuchova D.,Errani S.,62,14,841,2775,6,3,6,2,,,2,0,Completed,2.75,1.4,2.5,1.5,2.62,1.44,2.93,1.45,2.99,1.55,2.63,1.46
1,Auckland,ASB Classic,05/01/15,International,Outdoor,Hard,1st Round,3,Zahlavova Strycova B.,Scheepers C.,26,77,1720,693,6,1,3,6,6,2,2,1,Completed,1.44,2.62,1.5,2.5,1.44,2.62,1.45,2.93,1.52,2.93,1.45,2.65
1,Auckland,ASB Classic,05/01/15,International,Outdoor,Hard,1st Round,3,Konjuh A.,Barthel M.,99,41,579,1193,6,2,6,1,,,2,0,Completed,1.57,2.25,1.58,2.35,1.53,2.38,1.74,2.21,1.74,2.4,1.62,2.23
1,Auckland,ASB Classic,05/01/15,International,Outdoor,Hard,1st Round,3,Goerges J.,Tatishvili A.,75,144,700,378,6,1,6,4,,,2,0,Completed,1.72,2,1.8,2,1.67,2.1,1.86,2.03,1.88,2.13,1.74,2.04
1,Auckland,ASB Classic,05/01/15,International,Outdoor,Hard,1st Round,3,Vandeweghe C.,Vinci R.,38,44,1236,1107,5,7,6,2,6,3,2,1,Completed,1.83,1.83,1.82,1.9,1.83,1.83,1.9,1.99,2.05,2.03,1.86,1.89
1,Auckland,ASB Classic,05/01/15,International,Outdoor,Hard,1st Round,3,Radwanska U.,Schiavone F.,179,78,291,692,6,4,7,5,,,2,0,Completed,1.66,2.1,1.68,2.15,1.73,2,1.85,2.05,1.85,2.15,1.78,2
