ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
1,Adelaide,Next Generation Adelaide International,02/01/06,International,Outdoor,Hard,1st Round,3,Berdych T.,Calleri A.,24,51,1200,692,6,4,6,7,6,4,,,,,2,1,Completed,1.39,2.75,1.4,2.85,1.35,3.1,1.446,3.04,1.38,2.94
1,Adelaide,Next Generation Adelaide International,02/01/06,International,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Guccione C.,86,156,470,265,6,4,6,3,,,,,,,2,0,Completed,1.53,2.37,1.67,2.15,1.6,2.25,1.719,2.29,1.57,2.34
1,Adelaide,Next Generation Adelaide International,02/01/06,International,Outdoor,Hard,1st Round,3,Malisse X.,Luczak P.,47,146,731,286,7,6,6,3,,,,,,,2,0,Completed,1.28,3.25,1.3,3.4,1.3,3.35,1.391,3.36,1.33,3.2
1,Adelaide,Next Generation Adelaide International,02/01/06,International,Outdoor,Hard,1st Round,3,Robredo T.,Melzer J.,19,52,1490,690,7,5,6,4,,,,,,,2,0,Completed,1.53,2.37,1.6,2.3,1.5,2.5,1.606,2.55,1.56,2.36
1,Adelaide,Next Generation Adelaide International,02/01/06,International,Outdoor,Hard,1st Round,3,Ancic M.,Clement A.,21,69,1360,558,6,0,6,2,,,,,,,2,0,Completed,1.44,2.62,1.5,2.55,1.42,2.75,1.549,2.72,1.53,2.42
1,Adelaide,Next Generation Adelaide International,03/01/06,International,Outdoor,Hard,1st Round,3,Mayer F.,Monaco J.,72,85,519,477,6,2,6,4,,,,,,,2,0,Completed,1.5,2.5,1.6,2.3,1.48,2.53,1.606,2.55,1.57,2.34
1,Adelaide,Next Generation Adelaide International,03/01/06,International,Outdoor,Hard,1st Round,3,Seppi A.,Pashanski B.,68,82,562,498,6,4,6,4,,,,,,,2,0,Completed,1.4,2.75,1.5,2.55,1.53,2.4,1.524,2.77,,
1,Adelaide,Next Generation Adelaide International,03/01/06,International,Outdoor,Hard,1st Round,3,Philippoussis M.,Spadea V.,172,75,228,515,6,4,3,6,6,4,,,,,2,1,Completed,1.83,1.83,1.77,2,1.8,1.95,1.877,2.04,1.77,2
1,Adelaide,Next Generation Adelaide International,03/01/06,International,Outdoor,Hard,1st Round,3,Karlovic I.,Chela J.I.,70,39,550,815,6,3,3,6,6,1,,,,,2,1,Completed,1.9,1.8,2,1.77,2.05,1.75,2.21,1.763,1.96,1.8
1,Adelaide,Next Generation Adelaide International,03/01/06,International,Outdoor,Hard,1st Round,3,Blake J.,Martin A.,23,50,1230,711,6,3,6,3,,,,,,,2,0,Completed,1.12,5.5,1.16,5,1.13,5.5,1.163,6.55,1.16,4.95
1,Adelaide,Next Generation Adelaide International,03/01/06,International,Outdoor,Hard,1st Round,3,Nieminen J.,Mathieu P.H.,28,46,1045,738,6,2,7,6,,,,,,,2,0,Completed,1.66,2.1,1.77,2,1.8,1.95,1.763,2.21,1.77,2
1,Adelaide,Next Generation Adelaide International,03/01/06,International,Outdoor,Hard,1st Round,3,Serra F.,Llodra M.,49,137,712,303,3,6,3,1,,,,,,,0,1,Retired,2.2,1.61,2.2,1.65,2.4,1.53,2.3,1.714,,
1,Adelaide,Next Generation Adelaide International,03/01/06,International,Outdoor,Hard,1st Round,3,Murray A.,Lorenzi P.,64,252,571,138,3,6,6,0,6,2,,,,,2,1,Completed,1.08,6.5,1.08,7.5,1.13,5.5,1.111,8.75,1.11,6.5
1,Adelaide,Next Generation Adelaide International,03/01/06,International,Outdoor,Hard,1st Round,3,Carlsen K.,Carraz G.,66,167,565,233,5,7,7,5,6,3,,,,,2,1,Completed,2,1.72,2.3,1.6,2.15,1.65,2.21,1.763,2.15,1.67
1,Adelaide,Next Generation Adelaide International,03/01/06,International,Outdoor,Hard,1st Round,3,Hewitt L.,Hernych J.,4,74,2490,515,4,6,6,2,6,4,,,,,2,1,Completed,1.08,6.5,1.08,7.5,1.06,7.79,1.1,9,1.12,5.8
1,Adelaide,Next Generation Adelaide International,03/01/06,International,Outdoor,Hard,1st Round,3,Hrbaty D.,Junaid R.,18,413,1490,67,6,3,7,5,,,,,,,2,0,Completed,1.05,8,1.05,9,,,1.083,10.98,,
1,Adelaide,Next Generation Adelaide International,04/01/06,International,Outdoor,Hard,2nd Round,3,Serra F.,Robredo T.,49,19,712,1490,7,6,3,6,6,3,,,,,2,1,Completed,3.5,1.28,3.4,1.3,4.25,1.2,4.14,1.291,3.75,1.25
1,Adelaide,Next Generation Adelaide International,04/01/06,International,Outdoor,Hard,2nd Round,3,Malisse X.,Ancic M.,47,21,731,1360,3,6,6,3,7,6,,,,,2,1,Completed,2.37,1.53,2.4,1.55,2.35,1.55,2.73,1.546,2.25,1.61
1,Adelaide,Next Generation Adelaide International,04/01/06,International,Outdoor,Hard,2nd Round,3,Nieminen J.,Mayer F.,28,72,1045,519,7,6,7,5,,,,,,,2,0,Completed,1.5,2.5,1.48,2.6,1.53,2.4,1.585,2.61,1.55,2.37
1,Adelaide,Next Generation Adelaide International,04/01/06,International,Outdoor,Hard,2nd Round,3,Seppi A.,Blake J.,68,23,562,1230,3,6,6,3,6,4,,,,,2,1,Completed,6,1.11,6,1.12,5.2,1.15,8,1.129,5.3,1.14
1,Adelaide,Next Generation Adelaide International,05/01/06,International,Outdoor,Hard,2nd Round,3,Berdych T.,Murray A.,24,64,1200,571,7,6,4,6,6,1,,,,,2,1,Completed,1.72,2,1.75,2.05,1.6,2.25,1.68,2.37,1.64,2.2
1,Adelaide,Next Generation Adelaide International,05/01/06,International,Outdoor,Hard,2nd Round,3,Hrbaty D.,Philippoussis M.,18,172,1490,228,3,6,6,4,6,1,,,,,2,1,Completed,1.36,3,1.35,3.1,1.44,2.66,1.412,3.23,1.34,3.12
