WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
4,Adelaide,Adelaide International,13/01/2020,Premier,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Kontaveit A.,31,29,1531,1575,6,2,6,4,,,2,0,Completed,2.37,1.53,2.34,1.66,2.52,1.67,2.34,1.59
4,Adelaide,Adelaide International,13/01/2020,Premier,Outdoor,Hard,1st Round,3,Tomljanovic A.,Putintseva Y.,52,37,1070,1415,7,6,6,2,,,2,0,Completed,2.25,1.57,2.44,1.61,2.44,1.65,2.34,1.58
4,Adelaide,Adelaide International,13/01/2020,Premier,Outdoor,Hard,1st Round,3,Vekic D.,Sevastova A.,20,32,2080,1518,4,6,6,1,6,3,2,1,Completed,1.8,1.9,1.9,1.98,1.95,2.03,1.85,1.93
4,Adelaide,Adelaide International,13/01/2020,Premier,Outdoor,Hard,1st Round,3,Bencic B.,Kasatkina D.,7,68,4605,880,6,4,6,4,,,2,0,Completed,1.61,2.2,1.65,2.37,1.73,2.61,1.65,2.23
4,Adelaide,Adelaide International,13/01/2020,Premier,Outdoor,Hard,1st Round,3,Collins D.,Sasnovich A.,27,99,1641,673,6,3,6,2,,,2,0,Completed,1.8,1.9,2.13,1.78,2.13,2.2,1.95,1.85
4,Adelaide,Adelaide International,13/01/2020,Premier,Outdoor,Hard,1st Round,3,Kenin S.,Golubic V.,15,78,2565,760,6,0,6,4,,,2,0,Completed,1.28,3.5,1.29,3.93,1.38,4.9,1.28,3.67
4,Adelaide,Adelaide International,13/01/2020,Premier,Outdoor,Hard,1st Round,3,Yastremska D.,Babos T.,24,86,1820,720,7,5,6,3,,,2,0,Completed,1.33,3.25,1.32,3.71,1.37,3.71,1.32,3.34
4,Adelaide,Adelaide International,13/01/2020,Premier,Outdoor,Hard,1st Round,3,Kerber A.,Wang Q.,18,28,2175,1593,6,1,6,3,,,2,0,Completed,1.83,1.83,1.95,1.93,1.95,2.06,1.86,1.92
4,Adelaide,Adelaide International,14/01/2020,Premier,Outdoor,Hard,1st Round,3,Sakkari M.,Diatchenko V.,23,87,1820,719,7,5,6,2,,,2,0,Completed,1.36,3,1.42,3.09,1.43,3.25,1.37,3.05
4,Adelaide,Adelaide International,14/01/2020,Premier,Outdoor,Hard,1st Round,3,Rodionova Ar.,Stephens S.,201,25,294,1683,6,2,6,2,,,2,0,Completed,2.25,1.57,2.57,1.56,2.57,1.63,2.37,1.57
4,Adelaide,Adelaide International,14/01/2020,Premier,Outdoor,Hard,1st Round,3,Vondrousova M.,Maria T.,16,83,2390,729,6,3,6,0,,,2,0,Completed,1.61,2.2,1.63,2.42,1.67,2.42,1.61,2.29
4,Adelaide,Adelaide International,14/01/2020,Premier,Outdoor,Hard,1st Round,3,Pera B.,Strycova B.,70,33,863,1516,7,6,6,3,,,2,0,Completed,1.83,1.83,1.88,2.01,1.98,2.01,1.86,1.93
4,Adelaide,Adelaide International,14/01/2020,Premier,Outdoor,Hard,1st Round,3,Goerges J.,Hon P.,38,139,1390,428,7,6,6,3,,,2,0,Completed,1.36,3,1.36,3.38,1.41,3.38,1.35,3.15
4,Adelaide,Adelaide International,14/01/2020,Premier,Outdoor,Hard,1st Round,3,Sabalenka A.,Hsieh S.W.,12,36,2940,1450,5,7,6,1,7,5,2,1,Completed,1.44,2.62,1.43,3.01,1.53,3.1,1.43,2.77
4,Adelaide,Adelaide International,14/01/2020,Premier,Outdoor,Hard,2nd Round,3,Barty A.,Pavlyuchenkova A.,1,31,7547,1531,4,6,6,3,7,5,2,1,Completed,1.4,2.75,1.45,3,1.53,3,1.43,2.79
4,Adelaide,Adelaide International,14/01/2020,Premier,Outdoor,Hard,2nd Round,3,Halep S.,Tomljanovic A.,4,52,5461,1070,6,4,7,5,,,2,0,Completed,1.4,2.75,1.41,3.15,1.44,3.15,1.4,2.89
4,Adelaide,Adelaide International,15/01/2020,Premier,Outdoor,Hard,2nd Round,3,Vekic D.,Sakkari M.,20,23,2080,1820,2,6,7,5,6,1,2,1,Completed,1.72,2,1.83,2.09,1.87,2.1,1.79,2.01
4,Adelaide,Adelaide International,15/01/2020,Premier,Outdoor,Hard,2nd Round,3,Kerber A.,Yastremska D.,18,24,2175,1820,3,6,0,2,,,0,1,Retired,2,1.72,2.17,1.78,2.17,1.83,2.07,1.74
4,Adelaide,Adelaide International,15/01/2020,Premier,Outdoor,Hard,2nd Round,3,Collins D.,Kenin S.,27,15,1641,2565,6,3,6,1,,,2,0,Completed,2.1,1.66,2.51,1.6,2.51,1.73,2.27,1.63
4,Adelaide,Adelaide International,15/01/2020,Premier,Outdoor,Hard,2nd Round,3,Sabalenka A.,Pera B.,12,70,2940,863,7,6,6,2,,,2,0,Completed,1.33,3.25,1.38,3.36,1.46,3.35,1.36,3.07
4,Adelaide,Adelaide International,15/01/2020,Premier,Outdoor,Hard,2nd Round,3,Vondrousova M.,Rodionova Ar.,16,201,2390,294,6,0,6,0,,,2,0,Completed,1.36,3,1.37,3.38,1.44,3.38,1.38,3
4,Adelaide,Adelaide International,15/01/2020,Premier,Outdoor,Hard,2nd Round,3,Bencic B.,Goerges J.,7,38,4605,1390,7,6,7,6,,,2,0,Completed,1.72,2,1.86,2.05,1.91,2.07,1.8,2
4,Adelaide,Adelaide International,16/01/2020,Premier,Outdoor,Hard,Quarterfinals,3,Yastremska D.,Vekic D.,24,20,1820,2080,6,4,6,3,,,2,0,Completed,1.57,2.37,1.65,2.42,1.67,2.42,1.61,2.31
4,Adelaide,Adelaide International,16/01/2020,Premier,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Halep S.,12,4,2940,5461,6,4,6,2,,,2,0,Completed,2,1.8,2.08,1.86,2.1,1.95,1.98,1.82
4,Adelaide,Adelaide International,16/01/2020,Premier,Outdoor,Hard,Quarterfinals,3,Collins D.,Bencic B.,27,7,1641,4605,6,3,6,1,,,2,0,Completed,1.9,1.9,1.85,2.09,1.96,2.27,1.8,2
4,Adelaide,Adelaide International,16/01/2020,Premier,Outdoor,Hard,Quarterfinals,3,Barty A.,Vondrousova M.,1,16,7547,2390,6,3,6,3,,,2,0,Completed,1.5,2.62,1.54,2.7,1.56,3.04,1.49,2.6
4,Adelaide,Adelaide International,17/01/2020,Premier,Outdoor,Hard,Semifinals,3,Yastremska D.,Sabalenka A.,24,12,1820,2940,6,4,7,6,,,2,0,Completed,2.1,1.72,1.98,1.94,2.13,1.94,2.01,1.8
4,Adelaide,Adelaide International,17/01/2020,Premier,Outdoor,Hard,Semifinals,3,Barty A.,Collins D.,1,27,7547,1641,3,6,6,1,7,6,2,1,Completed,1.44,2.75,1.47,2.95,1.51,2.95,1.45,2.72
4,Adelaide,Adelaide International,18/01/2020,Premier,Outdoor,Hard,The Final,3,Barty A.,Yastremska D.,1,24,7547,1820,6,2,7,5,,,2,0,Completed,1.53,2.5,1.56,2.63,1.6,2.63,1.54,2.47
