WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Adelaide,Adelaide International 1,01/01/2023,WTA500,Outdoor,Hard,1st Round,3,Andreescu B.,Muguruza G.,46,55,1066,923,0,6,7,6,6,1,2,1,Completed,1.5,2.63,1.52,2.7,1.6,2.7,1.51,2.55
1,Adelaide,Adelaide International 1,01/01/2023,WTA500,Outdoor,Hard,1st Round,3,Kanepi K.,Sasnovich A.,32,30,1380,1428,4,6,6,1,6,4,2,1,Completed,1.91,1.91,1.96,1.93,2,1.95,1.9,1.89
1,Adelaide,Adelaide International 1,02/01/2023,WTA500,Outdoor,Hard,1st Round,3,Noskova L.,Kasatkina D.,102,8,620,3435,6,3,6,7,6,3,2,1,Completed,3.4,1.33,3.25,1.39,3.4,1.41,3.04,1.37
1,Adelaide,Adelaide International 1,02/01/2023,WTA500,Outdoor,Hard,1st Round,3,Begu I.,Rogers S.,34,47,1347,1065,3,6,7,6,6,1,2,1,Completed,2.75,1.44,2.97,1.44,2.97,1.56,2.66,1.47
1,Adelaide,Adelaide International 1,02/01/2023,WTA500,Outdoor,Hard,1st Round,3,Kudermetova V.,Anisimova A.,9,23,2795,1746,6,3,6,0,,,2,0,Completed,1.53,2.5,1.53,2.66,1.58,2.66,1.52,2.48
1,Adelaide,Adelaide International 1,02/01/2023,WTA500,Outdoor,Hard,1st Round,3,Kostyuk M.,Fourlis J.,69,162,820,389,6,1,3,6,6,4,2,1,Completed,1.13,6,1.16,6.11,1.21,6.11,1.14,5.6
1,Adelaide,Adelaide International 1,02/01/2023,WTA500,Outdoor,Hard,1st Round,3,Rybakina E.,Collins D.,21,14,1860,2287,5,7,6,2,6,3,2,1,Completed,1.57,2.38,1.68,2.31,1.8,2.4,1.65,2.22
1,Adelaide,Adelaide International 1,02/01/2023,WTA500,Outdoor,Hard,1st Round,3,Samsonova L.,Zhang S.,20,25,1910,1600,5,7,6,3,6,0,2,1,Completed,1.29,3.75,1.29,3.93,1.3,4.45,1.25,3.84
1,Adelaide,Adelaide International 1,03/01/2023,WTA500,Outdoor,Hard,1st Round,3,Zheng Q.,Kontaveit A.,28,17,1528,2093,6,1,4,6,7,6,2,1,Completed,1.67,2.2,1.67,2.33,1.71,2.34,1.64,2.24
1,Adelaide,Adelaide International 1,03/01/2023,WTA500,Outdoor,Hard,1st Round,3,Vondrousova M.,Alexandrova E.,92,19,662,1910,4,6,6,3,6,2,2,1,Completed,1.8,2,1.82,2.08,1.83,2.08,1.79,2.01
1,Adelaide,Adelaide International 1,03/01/2023,WTA500,Outdoor,Hard,1st Round,3,Azarenka V.,Kalinina A.,26,39,1597,1197,7,6,7,6,,,2,0,Completed,1.73,2.1,1.81,2.1,1.87,2.3,1.73,2.1
1,Adelaide,Adelaide International 1,03/01/2023,WTA500,Outdoor,Hard,1st Round,3,Liu C.,Hon P.,59,154,880,415,4,6,6,3,6,3,2,1,Completed,1.25,4,1.26,4.24,1.3,4.35,1.25,3.89
1,Adelaide,Adelaide International 1,03/01/2023,WTA500,Outdoor,Hard,1st Round,3,Cirstea S.,Golubic V.,45,76,1087,779,6,0,7,6,,,2,0,Completed,2.1,1.73,2.37,1.65,2.54,1.75,2.24,1.64
1,Adelaide,Adelaide International 1,03/01/2023,WTA500,Outdoor,Hard,1st Round,3,Ostapenko J.,Pliskova Ka.,18,31,1986,1426,6,1,6,3,,,2,0,Completed,2.1,1.73,1.97,1.92,2.12,1.92,2.02,1.78
1,Adelaide,Adelaide International 1,04/01/2023,WTA500,Outdoor,Hard,2nd Round,3,Vondrousova M.,Kanepi K.,92,32,662,1380,6,0,6,4,,,2,0,Completed,1.5,2.63,1.56,2.59,1.6,2.76,1.51,2.54
1,Adelaide,Adelaide International 1,04/01/2023,WTA500,Outdoor,Hard,2nd Round,3,Sabalenka A.,Samsonova L.,5,20,3925,1910,7,6,7,6,,,2,0,Completed,2.1,1.73,2.16,1.76,2.25,1.78,2.13,1.71
1,Adelaide,Adelaide International 1,04/01/2023,WTA500,Outdoor,Hard,2nd Round,3,Kostyuk M.,Rybakina E.,69,21,820,1860,6,7,6,2,6,3,2,1,Completed,3.2,1.36,3.67,1.32,3.67,1.36,3.27,1.33
1,Adelaide,Adelaide International 1,04/01/2023,WTA500,Outdoor,Hard,2nd Round,3,Kudermetova V.,Andreescu B.,9,46,2795,1066,6,4,6,0,,,2,0,Completed,1.67,2.2,1.62,2.43,1.67,2.52,1.61,2.3
1,Adelaide,Adelaide International 1,05/01/2023,WTA500,Outdoor,Hard,2nd Round,3,Noskova L.,Liu C.,102,59,620,880,6,2,6,2,,,2,0,Completed,1.73,2.1,1.72,2.24,1.74,2.34,1.68,2.18
1,Adelaide,Adelaide International 1,05/01/2023,WTA500,Outdoor,Hard,2nd Round,3,Begu I.,Ostapenko J.,34,18,1347,1986,6,3,6,0,,,2,0,Completed,2.75,1.44,2.88,1.47,3.15,1.47,2.8,1.43
1,Adelaide,Adelaide International 1,05/01/2023,WTA500,Outdoor,Hard,2nd Round,3,Azarenka V.,Zheng Q.,26,28,1597,1528,6,2,7,5,,,2,0,Completed,2.2,1.67,2.16,1.77,2.27,1.77,2.16,1.68
1,Adelaide,Adelaide International 1,05/01/2023,WTA500,Outdoor,Hard,2nd Round,3,Jabeur O.,Cirstea S.,2,45,5055,1087,7,6,6,1,,,2,0,Completed,1.29,3.75,1.3,3.89,1.3,3.95,1.27,3.71
1,Adelaide,Adelaide International 1,06/01/2023,WTA500,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Vondrousova M.,5,92,3925,662,6,3,7,5,,,2,0,Completed,1.8,2,1.81,2.11,1.91,2.2,1.78,2.03
1,Adelaide,Adelaide International 1,06/01/2023,WTA500,Outdoor,Hard,Quarterfinals,3,Begu I.,Kudermetova V.,34,9,1347,2795,7,5,6,4,,,2,0,Completed,4,1.25,3.8,1.31,4,1.31,3.79,1.26
1,Adelaide,Adelaide International 1,06/01/2023,WTA500,Outdoor,Hard,Quarterfinals,3,Noskova L.,Azarenka V.,102,26,620,1597,6,4,6,7,7,6,2,1,Completed,2.63,1.5,2.66,1.54,2.66,1.57,2.57,1.5
1,Adelaide,Adelaide International 1,06/01/2023,WTA500,Outdoor,Hard,Quarterfinals,3,Jabeur O.,Kostyuk M.,2,69,5055,820,7,6,7,5,,,2,0,Completed,1.36,3.2,1.41,3.19,1.41,3.21,1.36,3.09
1,Adelaide,Adelaide International 1,07/01/2023,WTA500,Outdoor,Hard,Semifinals,3,Sabalenka A.,Begu I.,5,34,3925,1347,6,3,6,2,,,2,0,Completed,1.36,3.2,1.39,3.3,1.39,3.45,1.35,3.16
1,Adelaide,Adelaide International 1,07/01/2023,WTA500,Outdoor,Hard,Semifinals,3,Noskova L.,Jabeur O.,102,2,620,5055,6,3,1,6,6,3,2,1,Completed,3.5,1.3,3.61,1.34,3.61,1.38,3.36,1.32
1,Adelaide,Adelaide International 1,08/01/2023,WTA500,Outdoor,Hard,The Final,3,Sabalenka A.,Noskova L.,5,102,3925,620,6,3,7,6,,,2,0,Completed,1.36,3.2,1.32,3.71,1.38,3.71,1.35,3.22
