ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
68,Turin,Masters Cup,13/11/2022,Masters Cup,Indoor,Hard,Round Robin,,Ruud C.,Auger-Aliassime F.,4,6,5020,3995,7,6,6,4,,,,,,,2,0,Completed,3.2,1.36,3.12,1.42,3.32,1.42,3.06,1.37
68,Turin,Masters Cup,13/11/2022,Masters Cup,Indoor,Hard,Round Robin,,Fritz T.,Nadal R.,9,2,2955,5820,7,6,6,1,,,,,,,2,0,Completed,2.37,1.57,2.46,1.62,2.52,1.65,2.41,1.57
68,Turin,Masters Cup,14/11/2022,Masters Cup,Indoor,Hard,Round Robin,,Rublev A.,Medvedev D.,7,5,3530,4065,6,7,6,3,7,6,,,,,2,1,Completed,3.4,1.33,3.55,1.35,3.55,1.35,3.34,1.32
68,Turin,Masters Cup,14/11/2022,Masters Cup,Indoor,Hard,Round Robin,,Djokovic N.,Tsitsipas S.,8,3,3320,5350,6,4,7,6,,,,,,,2,0,Completed,1.33,3.4,1.35,3.54,1.36,3.74,1.33,3.3
68,Turin,Masters Cup,15/11/2022,Masters Cup,Indoor,Hard,Round Robin,,Auger-Aliassime F.,Nadal R.,6,2,3995,5820,6,3,6,4,,,,,,,2,0,Completed,1.61,2.3,1.6,2.52,1.68,2.57,1.6,2.34
68,Turin,Masters Cup,15/11/2022,Masters Cup,Indoor,Hard,Round Robin,,Ruud C.,Fritz T.,4,9,5020,2955,6,3,4,6,7,6,,,,,2,1,Completed,2,1.8,2.11,1.81,2.12,1.91,2.01,1.79
68,Turin,Masters Cup,16/11/2022,Masters Cup,Indoor,Hard,Round Robin,,Djokovic N.,Rublev A.,8,7,3320,3530,6,4,6,1,,,,,,,2,0,Completed,1.3,3.5,1.37,3.41,1.37,3.6,1.32,3.33
68,Turin,Masters Cup,16/11/2022,Masters Cup,Indoor,Hard,Round Robin,,Tsitsipas S.,Medvedev D.,3,5,5350,4065,6,3,6,7,7,6,,,,,2,1,Completed,2.62,1.5,2.51,1.6,2.65,1.61,2.52,1.52
68,Turin,Masters Cup,17/11/2022,Masters Cup,Indoor,Hard,Round Robin,,Nadal R.,Ruud C.,2,4,5820,5020,7,5,7,5,,,,,,,2,0,Completed,2.5,1.53,2.41,1.64,2.6,1.66,2.42,1.56
68,Turin,Masters Cup,17/11/2022,Masters Cup,Indoor,Hard,Round Robin,,Fritz T.,Auger-Aliassime F.,9,6,2955,3995,7,6,6,7,6,2,,,,,2,1,Completed,2.5,1.53,2.52,1.6,2.58,1.66,2.43,1.55
68,Turin,Masters Cup,18/11/2022,Masters Cup,Indoor,Hard,Round Robin,,Djokovic N.,Medvedev D.,8,5,3320,4065,6,3,6,7,7,6,,,,,2,1,Completed,1.33,3.4,1.37,3.36,1.39,3.55,1.34,3.25
68,Turin,Masters Cup,18/11/2022,Masters Cup,Indoor,Hard,Round Robin,,Rublev A.,Tsitsipas S.,7,3,3530,5350,3,6,6,3,6,2,,,,,2,1,Completed,2.37,1.57,2.63,1.55,2.63,1.63,2.39,1.57
68,Turin,Masters Cup,19/11/2022,Masters Cup,Indoor,Hard,Semifinals,,Djokovic N.,Fritz T.,8,9,3320,2955,7,6,7,6,,,,,,,2,0,Completed,1.22,4.33,1.24,4.53,1.28,4.75,1.23,4.14
68,Turin,Masters Cup,19/11/2022,Masters Cup,Indoor,Hard,Semifinals,,Ruud C.,Rublev A.,4,7,5020,3530,6,2,6,4,,,,,,,2,0,Completed,2.2,1.66,2.35,1.67,2.35,1.75,2.18,1.69
68,Turin,Masters Cup,20/11/2022,Masters Cup,Indoor,Hard,The Final,,Djokovic N.,Ruud C.,8,4,3320,5020,7,5,6,3,,,,,,,2,0,Completed,1.22,4.33,1.22,4.9,1.29,4.9,1.23,4.21
