WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
26,Nottingham,Nottingham Open,06/06/2021,WTA250,Outdoor,Grass,1st Round,3,Pattinama Kerkhove L.,Inglis M.,177,135,408,611,6,1,6,4,,,2,0,Completed,1.72,2.1,1.71,2.24,1.81,2.3,1.69,2.15
26,Nottingham,Nottingham Open,06/06/2021,WTA250,Outdoor,Grass,1st Round,3,Melnikova M.,Volynets K.,186,202,386,348,6,3,2,6,7,6,2,1,Completed,3.2,1.36,2.99,1.44,3.21,1.47,2.88,1.41
26,Nottingham,Nottingham Open,06/06/2021,WTA250,Outdoor,Grass,1st Round,3,Ahn K.,Burrage J.,123,250,679,276,1,6,6,3,6,2,2,1,Completed,1.9,1.9,2.09,1.81,2.09,2.06,1.93,1.85
26,Nottingham,Nottingham Open,06/06/2021,WTA250,Outdoor,Grass,1st Round,3,Kozlova K.,Gasanova A.,159,173,501,429,1,6,6,4,6,4,2,1,Completed,1.57,2.37,1.67,2.33,1.68,2.47,1.61,2.29
26,Nottingham,Nottingham Open,06/06/2021,WTA250,Outdoor,Grass,1st Round,3,Moore T.,Silva E.,476,520,91,80,6,2,3,6,7,6,2,1,Completed,1.8,2,2.03,1.86,2.1,2.05,1.87,1.92
26,Nottingham,Nottingham Open,06/06/2021,WTA250,Outdoor,Grass,1st Round,3,Wang Xiy.,Di Giuseppe M.,145,194,564,363,7,6,7,6,,,2,0,Completed,1.25,4,1.26,4.3,1.3,4.45,1.23,4
26,Nottingham,Nottingham Open,06/06/2021,WTA250,Outdoor,Grass,1st Round,3,Dodin O.,Vandeweghe C.,115,224,727,313,7,6,6,4,,,2,0,Completed,2.1,1.72,2.18,1.75,2.18,2.08,2.08,1.74
26,Nottingham,Nottingham Open,06/06/2021,WTA250,Outdoor,Grass,1st Round,3,Kung L.,Grey S.,158,614,504,58,6,2,6,2,,,2,0,Completed,1.22,4.33,1.31,3.79,1.31,5.66,1.24,4.07
26,Nottingham,Nottingham Open,07/06/2021,WTA250,Outdoor,Grass,1st Round,3,Dolehide C.,Gatto-Monticone G.,164,172,478,429,6,4,6,3,,,2,0,Completed,1.8,2,1.83,2.07,1.91,2.13,1.79,2.01
26,Nottingham,Nottingham Open,07/06/2021,WTA250,Outdoor,Grass,1st Round,3,Garcia Perez G.,Jones F.,184,187,391,384,4,6,6,3,6,4,2,1,Completed,1.72,2.1,1.81,2.09,1.83,2.38,1.63,2.25
26,Nottingham,Nottingham Open,07/06/2021,WTA250,Outdoor,Grass,1st Round,3,Rodionova Ar.,Wang Xin.,169,137,447,598,5,7,7,6,6,4,2,1,Completed,2.75,1.44,3.06,1.42,3.15,1.53,2.88,1.4
26,Nottingham,Nottingham Open,07/06/2021,WTA250,Outdoor,Grass,1st Round,3,Cabrera L.,Wang Y.,151,119,541,697,6,3,6,7,6,2,2,1,Completed,2.3,1.61,2.24,1.71,2.38,1.74,2.22,1.64
26,Nottingham,Nottingham Open,07/06/2021,WTA250,Outdoor,Grass,1st Round,3,Nara K.,Tomova V.,155,108,511,775,6,4,6,7,6,2,2,1,Completed,2.37,1.57,2.31,1.68,2.64,1.68,2.37,1.57
26,Nottingham,Nottingham Open,07/06/2021,WTA250,Outdoor,Grass,1st Round,3,Dart H.,Raducanu E.,143,366,576,137,6,3,6,4,,,2,0,Completed,1.57,2.37,1.57,2.55,1.74,2.6,1.56,2.41
26,Nottingham,Nottingham Open,07/06/2021,WTA250,Outdoor,Grass,1st Round,3,Mcnally C.,Raina A.,110,183,753,395,6,4,6,3,,,2,0,Completed,1.25,4,1.33,3.6,1.33,4.2,1.27,3.72
26,Nottingham,Nottingham Open,07/06/2021,WTA250,Outdoor,Grass,1st Round,3,Boulter K.,Osorio M.,262,98,262,837,6,2,6,3,,,2,0,Completed,1.57,2.37,1.68,2.31,1.74,2.48,1.61,2.3
26,Nottingham,Nottingham Open,08/06/2021,WTA250,Outdoor,Grass,2nd Round,3,Kozlova K.,Brengle M.,159,84,501,990,6,3,5,7,6,3,2,1,Completed,2.2,1.66,2.35,1.66,2.35,1.71,2.22,1.65
26,Nottingham,Nottingham Open,08/06/2021,WTA250,Outdoor,Grass,2nd Round,3,Vekic D.,Kung L.,36,158,1810,504,7,5,6,1,,,2,0,Completed,1.2,4.5,1.26,4.25,1.26,6.44,1.22,4.24
26,Nottingham,Nottingham Open,08/06/2021,WTA250,Outdoor,Grass,2nd Round,3,Stojanovic N.,Dodin O.,87,115,901,727,7,6,7,5,,,2,0,Completed,2.62,1.5,2.9,1.46,3.05,1.54,2.74,1.45
26,Nottingham,Nottingham Open,08/06/2021,WTA250,Outdoor,Grass,2nd Round,3,Konta J.,Pattinama Kerkhove L.,20,177,2756,408,6,1,6,3,,,2,0,Completed,1.14,5.5,1.18,5.53,1.18,6,1.15,5.26
26,Nottingham,Nottingham Open,08/06/2021,WTA250,Outdoor,Grass,2nd Round,3,Golubic V.,Ahn K.,72,123,1126,679,6,1,,,,,1,0,Retired,1.2,4.5,1.24,4.52,1.25,5.66,1.2,4.42
26,Nottingham,Nottingham Open,08/06/2021,WTA250,Outdoor,Grass,2nd Round,3,Martincova T.,Dolehide C.,94,164,853,478,6,2,6,3,,,2,0,Completed,1.53,2.5,1.56,2.57,1.67,2.8,1.5,2.56
26,Nottingham,Nottingham Open,08/06/2021,WTA250,Outdoor,Grass,2nd Round,3,Garcia Perez G.,Mchale C.,184,95,391,847,6,7,6,4,7,5,2,1,Completed,2.37,1.57,2.34,1.66,2.55,1.66,2.39,1.57
