ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
6,Cordoba,Cordoba Open,06/02/2023,ATP250,Outdoor,Clay,1st Round,3,Zapata Miralles B.,Carballes Baena R.,76,77,702,695,6,7,6,3,7,5,,,,,2,1,Completed,2.63,1.5,2.58,1.56,2.95,1.56,2.53,1.51
6,Cordoba,Cordoba Open,06/02/2023,ATP250,Outdoor,Clay,1st Round,3,Lajovic D.,Varillas J. P.,89,98,591,541,7,6,6,3,,,,,,,2,0,Completed,2.2,1.67,2.19,1.75,2.2,1.8,2.13,1.7
6,Cordoba,Cordoba Open,07/02/2023,ATP250,Outdoor,Clay,1st Round,3,Cerundolo J.M.,Andujar P.,114,153,460,377,6,4,1,0,,,,,,,1,0,Retired,1.2,4.5,1.22,4.76,1.25,5.08,1.21,4.35
6,Cordoba,Cordoba Open,07/02/2023,ATP250,Outdoor,Clay,1st Round,3,Darderi L.,Gaston H.,200,101,291,533,6,4,6,3,,,,,,,2,0,Completed,1.73,2.1,1.76,2.17,1.76,2.42,1.7,2.13
6,Cordoba,Cordoba Open,07/02/2023,ATP250,Outdoor,Clay,1st Round,3,Coria F.,Monteiro T.,67,78,775,690,6,7,6,1,6,2,,,,,2,1,Completed,1.62,2.3,1.63,2.4,1.67,2.4,1.62,2.26
6,Cordoba,Cordoba Open,07/02/2023,ATP250,Outdoor,Clay,1st Round,3,Barrios M.,Galan D.E.,212,83,256,614,7,6,6,2,,,,,,,2,0,Completed,1.8,2,1.85,2.05,2,2.05,1.9,1.89
6,Cordoba,Cordoba Open,07/02/2023,ATP250,Outdoor,Clay,1st Round,3,Garin C.,Martinez P.,103,72,526,746,7,6,2,6,6,0,,,,,2,1,Completed,1.8,2,1.77,2.16,1.87,2.16,1.77,2.03
6,Cordoba,Cordoba Open,07/02/2023,ATP250,Outdoor,Clay,1st Round,3,Delbonis F.,Tabilo A.,131,146,426,394,6,7,6,2,7,6,,,,,2,1,Completed,2,1.8,2,1.89,2,1.9,1.96,1.82
6,Cordoba,Cordoba Open,08/02/2023,ATP250,Outdoor,Clay,1st Round,3,Pella G.,Vavassori A.,1018,221,10,248,6,2,6,2,,,,,,,2,0,Completed,2.5,1.53,2.64,1.54,2.64,1.57,2.48,1.53
6,Cordoba,Cordoba Open,08/02/2023,ATP250,Outdoor,Clay,1st Round,3,Sousa J.,Etcheverry T.,162,81,362,651,3,6,7,6,6,4,,,,,2,1,Completed,3.75,1.29,3.9,1.29,3.9,1.29,3.65,1.28
