WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
5,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,3,Mauresmo A.,Perry S.,3,44,3460,449,6,3,6,4,,,2,0,Completed,1.04,9.5,1.05,9,1.05,8.5,1.065,13.5,1.05,9
5,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,3,Tu M.,Gallovits E.,90,108,315,271.5,2,6,6,4,6,2,2,1,Completed,1.44,2.62,1.38,2.9,1.4,2.8,1.493,2.83,1.42,2.75
5,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,3,Poutchkova O.,Domachowska M.,38,91,537.25,313.75,6,2,6,4,,,2,0,Completed,1.36,3,1.24,3.8,1.3,3.3,1.285,4.21,1.33,3.2
5,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,3,Sequera M.,Gajdosova J.,95,74,295.25,350.5,6,3,6,4,,,2,0,Completed,2.37,1.53,2.4,1.53,2.3,1.57,2.36,1.685,2.32,1.57
5,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,3,Peer S.,Oprandi R.,17,54,961,429,6,1,6,3,,,2,0,Completed,1.1,6,1.1,6.3,1.1,6.2,1.1,9,1.11,6.25
5,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,3,Ondraskova Z.,Fernandez C.,106,105,272,273.5,6,4,6,2,,,2,0,Completed,1.83,1.83,1.95,1.8,1.87,1.87,2.05,1.87,1.9,1.86
5,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,3,Kirilenko M.,Sprem K.,28,89,609,316.75,3,6,6,3,6,1,2,1,Completed,1.33,3.25,1.3,3.35,1.36,3,1.444,3.05,1.37,3
5,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,3,Benesova I.,Voskoboeva G.,84,110,324.25,262.25,6,7,6,1,6,4,2,1,Completed,1.72,2,1.8,1.95,1.75,2,1.909,2,1.7,2.1
5,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,3,Yakimova A.,Pous Tio L.,68,101,375.5,283.25,6,2,4,6,7,5,2,1,Completed,1.57,2.25,1.55,2.35,1.63,2.2,1.741,2.25,1.61,2.25
5,Melbourne,Australian Open,15/01/07,Grand Slam,Outdoor,Hard,1st Round,3,Azarenka V.,Fedak Y.,94,73,299.75,351.25,6,2,5,7,6,4,2,1,Completed,1.8,1.9,1.82,1.9,,,1.769,2.2,1.77,2
